[2026-05-22 07:52:10,956] INFO in request_logger: POST | /auth/signup | IP=127.0.0.1 | STATUS=0
[2026-05-22 07:52:11,574] INFO in request_logger: POST | /auth/signup | IP=127.0.0.1 | STATUS=500
[2026-05-22 07:55:30,005] INFO in request_logger: POST | /auth/signup | IP=127.0.0.1 | STATUS=0
[2026-05-22 07:55:30,044] INFO in request_logger: POST | /auth/signup | IP=127.0.0.1 | STATUS=400
[2026-05-22 07:56:40,081] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 07:56:41,359] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=400
[2026-05-22 08:00:29,966] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 08:00:30,408] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=500
[2026-05-22 08:02:26,448] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 08:02:26,778] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=500
[2026-05-22 08:04:42,473] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 08:04:43,011] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=500
[2026-05-22 08:21:06,911] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 08:21:07,238] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 08:25:31,944] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 08:25:32,256] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 08:25:48,913] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 08:26:01,650] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 08:26:02,099] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 08:26:53,195] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 08:26:53,507] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 08:27:00,202] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 08:27:01,997] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 08:29:16,244] INFO in request_logger: GET | /auth/me | IP=127.0.0.1 | STATUS=0
[2026-05-22 08:29:17,192] INFO in request_logger: GET | /auth/me | IP=127.0.0.1 | STATUS=200
[2026-05-22 13:37:46,354] INFO in request_logger: POST | /auth/signup | IP=127.0.0.1 | STATUS=0
[2026-05-22 13:37:46,356] INFO in request_logger: POST | /auth/signup | IP=127.0.0.1 | STATUS=400
[2026-05-22 13:38:29,379] INFO in request_logger: POST | /auth/signup | IP=127.0.0.1 | STATUS=0
[2026-05-22 13:40:14,200] INFO in request_logger: POST | /auth/signup | IP=127.0.0.1 | STATUS=0
[2026-05-22 13:40:14,542] INFO in request_logger: POST | /auth/signup | IP=127.0.0.1 | STATUS=500
[2026-05-22 13:49:47,790] INFO in request_logger: POST | /auth/signup | IP=127.0.0.1 | STATUS=0
[2026-05-22 13:49:47,836] INFO in request_logger: POST | /auth/signup | IP=127.0.0.1 | STATUS=400
[2026-05-22 13:51:04,943] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 13:52:14,887] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 13:52:15,146] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=400
[2026-05-22 13:53:23,525] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 13:53:24,640] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:09:16,367] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:09:16,368] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:10:30,606] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:10:30,607] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:14:21,900] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:14:21,909] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:16:35,915] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:16:35,922] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:20:16,182] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:20:16,183] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:20:16,228] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:20:17,455] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:20:50,338] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:20:50,340] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:20:50,392] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:20:51,273] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:21:38,444] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:21:38,445] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:21:38,510] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:21:40,323] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:23:25,665] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:23:27,222] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:24:25,871] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:24:25,882] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:24:25,894] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
